Title,Body,Labels,Milestone
PRD v1 — Contrato do produto (estados + zero interação),"**Descrição**
Documentar requisitos do MVP: estados do app (Protegido/Aprendendo/Intervenção), política “zero interação”, restrições de privacidade, e o que NÃO entra no escopo.

**Critérios de aceitação**
- Documento descreve os 3 estados com gatilhos objetivos
- Lista de permissões mínimas e quando solicitar
- “Notificações OFF por padrão” registrado como regra
- Fora de escopo explícito: feed, login, sync de contatos, anúncios","epic/product,prio/P0,type/doc,area/product",Fase 0
"Fluxos (FigJam) — Ativação, Chamada, Revisão, Reset","**Descrição**
Criar fluxos simples com 4 jornadas: (1) ativar proteção, (2) chamada recebida e decisão, (3) revisão de bloqueios, (4) apagar histórico local.

**Critérios de aceitação**
- 4 fluxos desenhados com início/fim e estados
- Inclui pontos de permissão (só quando necessário)
- Inclui comportamento com notificações OFF","epic/product,prio/P0,type/doc,area/product",Fase 0
Rules Engine v1 — Sinais/pesos/thresholds + cenários,"**Descrição**
Consolidar sinais/pesos/thresholds (ALLOW/SILENCE/BLOCK) e cenários de teste.

**Critérios de aceitação**
- Tabela de sinais/pesos publicada
- Thresholds definidos (≥6 block, 4–5 silence, ≤3 allow)
- 8+ cenários cobrindo: entregador, robocall, golpe insistente, hospital, número salvo, allowlist, marcado spam, burst multi-números","epic/core,prio/P0,type/doc,area/core",Fase 0
Permissões Android — lista + justificativa Play Console,"**Descrição**
Listar permissões e explicar por que são necessárias; texto pronto para Play Store (Data safety / Permissions).

**Critérios de aceitação**
- Somente permissões indispensáveis listadas
- Texto pronto para Play Store “Data safety / Permissions”
- Alternativas por versão Android anotadas","epic/privacy,prio/P0,type/doc,area/privacy",Fase 0
Repo Android — Kotlin + Compose + estrutura de módulos,"**Descrição**
Criar projeto Android com Kotlin e Compose. Estruturar módulos/pacotes: core, data, ui, screening.

**Critérios de aceitação**
- App compila e roda em emulador
- Estrutura de pacotes definida
- Configs básicas (minSdk/targetSdk) definidas","epic/infra,prio/P0,type/chore,area/infra",Fase 1
CI — GitHub Actions (build + lint + testes),"**Descrição**
Pipeline CI para build debug, rodar unit tests e static analysis.

**Critérios de aceitação**
- Workflow em PR: build + testes + lint
- Falha bloqueia merge (branch protection recomendado)
- Artefato APK debug opcional","epic/infra,prio/P0,type/chore,area/qa",Fase 1
Qualidade — detekt + ktlint,"**Descrição**
Integrar detekt e ktlint para manter base limpa.

**Critérios de aceitação**
- Rodam local e no CI
- Regras mínimas sem atrito excessivo","epic/infra,prio/P1,type/chore,area/qa",Fase 1
DB Room v1 — schema mínimo,"**Descrição**
Implementar Room com tabelas: CallEvent, NumberProfile, RulesConfig, UserOverrides.

**Critérios de aceitação**
- Migrações versionadas
- CRUD básico funcionando
- Índices para consultas por número e janelas temporais","epic/data,prio/P0,type/feature,area/data",Fase 1
Retenção/compactação — limpeza automática (30 dias),"**Descrição**
Worker diário para apagar eventos antigos e compactar perfis.

**Critérios de aceitação**
- Mantém apenas últimos 30 dias
- Respeita Doze / baixo impacto em bateria
- Logs internos mostram execução e resultados","epic/data,prio/P1,type/feature,area/data",Fase 2
Call Screening — integrar API de screening,"**Descrição**
Implementar serviço de call screening para receber chamadas e aplicar decisão quando suportado.

**Critérios de aceitação**
- Evento de chamada recebido
- Número normalizado (E.164 quando possível)
- Decisão aplicada quando suportado
- Degradação graciosa quando recurso não estiver disponível","epic/core,prio/P0,type/feature,area/core",Fase 1
Pipeline — evento -> features -> score -> decisão,"**Descrição**
Pipeline determinístico: normaliza número, coleta features, calcula score, aplica thresholds/exceções, grava CallEvent e atualiza NumberProfile.

**Critérios de aceitação**
- Score e reason codes armazenados localmente
- Decisão reproduzível (mesmas entradas = mesma saída)
- Caminho quente com baixa latência (meta interna)","epic/core,prio/P0,type/feature,area/core",Fase 1
Reason Codes — explicação interna,"**Descrição**
Registrar motivos de decisão com enums (ANDROID_SPAM, SHORT_CALL, BURST_SAME, ALLOWLIST_DURATION etc).

**Critérios de aceitação**
- Toda decisão tem 1+ reason codes
- UI de revisão mostra resumo simples do motivo","epic/core,prio/P1,type/feature,area/core",Fase 1
